"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Jun 04 18:53:11 UTC 2022","Sat Jun 04 18:53:12 UTC 2022","337","chromium","example.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Sat Jun 04 18:53:11 UTC 2022","Sat Jun 04 18:53:11 UTC 2022","737","chromium","example.spec.ts","New Todo","","","should allow me to add todo items",""
